hierarchy level 1,hierarchy level 2,hierarchy level 3,hierarchy level 4,gene,area_xyl,area_glu,%  change in level 1 mass fraction after 12 h in glu compared to xyl,%  change in level 2 mass fraction after 12 h in glu compared to xyl,%  change in level 3 mass fraction after 12 h in glu compared to xyl,%  change in level 4 mass fraction after 12 h in glu compared to xyl
Cell cycle and differentiation,Motility,Pili,cpaA:A0A0H3CDS6,cpaA,,,-11.2042285979413,-38.9827528260541,18.8512916028127,#VALUE!
Cell cycle and differentiation,Motility,Pili,cpaF:A0A0H3CDS2,cpaF,0.004438481421947,0.003067826280854,-11.2042285979413,-38.9827528260541,18.8512916028127,-30.88
Cell cycle and differentiation,Motility,Pili,cpaB:A0A0H3CC71,cpaB,0.007387168542519,0.005132544290968,-11.2042285979413,-38.9827528260541,18.8512916028127,-30.52
Cell cycle and differentiation,Motility,Pili,cpaC:A0A0H3CC36,cpaC,0.012451018235952,0.012909753351543,-11.2042285979413,-38.9827528260541,18.8512916028127,+3.68
Cell cycle and differentiation,Motility,Pili,cpaD:A0A0H3CB87,cpaD,0.007259017261664,0.006890893269493,-11.2042285979413,-38.9827528260541,18.8512916028127,-5.07
Cell cycle and differentiation,Motility,Pili,pilA:A0A0H3CAL4,pilA,,,-11.2042285979413,-38.9827528260541,18.8512916028127,#VALUE!
Cell cycle and differentiation,Motility,Pili,cpaE:A0A0H3CAK9,cpaE,0.01168231501941,0.009101745299413,-11.2042285979413,-38.9827528260541,18.8512916028127,-22.09
Cell cycle and differentiation,Motility,Pili,CCNA_03033:A0A0H3CAK5,CCNA_03033,0.016739206589268,0.034157152520301,-11.2042285979413,-38.9827528260541,18.8512916028127,+104.05
Cell cycle and differentiation,Motility,Pili,CCNA_00875:A0A0H3C6Q4,CCNA_00875,,,-11.2042285979413,-38.9827528260541,18.8512916028127,#VALUE!
Cell cycle and differentiation,Motility,Pili,pulO:A0A0H3C4N1,pulO,,,-11.2042285979413,-38.9827528260541,18.8512916028127,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,flbT:B8H5S2,flbT,0.010239108958393,0.005957075708536,-11.2042285979413,-38.9827528260541,-43.3423107853332,-41.82
Cell cycle and differentiation,Motility,Flagellum,CCNA_03385:B8H4M6,CCNA_03385,0.001454403422368,0.001336688709722,-11.2042285979413,-38.9827528260541,-43.3423107853332,-8.09
Cell cycle and differentiation,Motility,Flagellum,fliI:B8H363,fliI,0.005136083870773,0.00276050140393,-11.2042285979413,-38.9827528260541,-43.3423107853332,-46.25
Cell cycle and differentiation,Motility,Flagellum,fliL:B8GXB6,fliL,0.002927191567246,0.003259327061409,-11.2042285979413,-38.9827528260541,-43.3423107853332,+11.35
Cell cycle and differentiation,Motility,Flagellum,fliM:B8GXB5,fliM,0.001828996822193,0.001505193395605,-11.2042285979413,-38.9827528260541,-43.3423107853332,-17.70
Cell cycle and differentiation,Motility,Flagellum,fliX:A0A0H3CCP3,fliX,0.001895081535067,0.001427210007367,-11.2042285979413,-38.9827528260541,-43.3423107853332,-24.69
Cell cycle and differentiation,Motility,Flagellum,CCNA_03071:A0A0H3CCA4,CCNA_03071,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,CCNA_02257:A0A0H3CBL7,CCNA_02257,0.000805086719239,0.000431587644846,-11.2042285979413,-38.9827528260541,-43.3423107853332,-46.39
Cell cycle and differentiation,Motility,Flagellum,pflI:A0A0H3CB90,pflI,0.002364333672163,0.002051686215535,-11.2042285979413,-38.9827528260541,-43.3423107853332,-13.22
Cell cycle and differentiation,Motility,Flagellum,flgH:A0A0H3C9Y8,flgH,0.001488314177674,0.000926301654144,-11.2042285979413,-38.9827528260541,-43.3423107853332,-37.76
Cell cycle and differentiation,Motility,Flagellum,flgA:A0A0H3C9P2,flgA,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,flgI:A0A0H3C9M6,flgI,0.00095223973519,0.000423133878591,-11.2042285979413,-38.9827528260541,-43.3423107853332,-55.56
Cell cycle and differentiation,Motility,Flagellum,flaF:A0A0H3C9M3,flaF,0.004824429367956,0.002358953669453,-11.2042285979413,-38.9827528260541,-43.3423107853332,-51.10
Cell cycle and differentiation,Motility,Flagellum,flgG:A0A0H3C944,flgG,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,CCNA_01644:A0A0H3C8L1,CCNA_01644,0.010650051699089,0.004341646739989,-11.2042285979413,-38.9827528260541,-43.3423107853332,-59.23
Cell cycle and differentiation,Motility,Flagellum,fliE:A0A0H3C8E1,fliE,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,flgF:A0A0H3C8B6,flgF,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
Cell cycle and differentiation,Motility,Flagellum,fljJ:A0A0H3C8A4,fljJ,0.004552927060531,0.005317712708961,-11.2042285979413,-38.9827528260541,-43.3423107853332,+16.80
Cell cycle and differentiation,Motility,Flagellum,flbA:A0A0H3C8A0,flbA,0.018841059735969,0.01781825676328,-11.2042285979413,-38.9827528260541,-43.3423107853332,-5.43
Cell cycle and differentiation,Motility,Flagellum,CCNA_01508:A0A0H3C890,CCNA_01508,0.01173907710539,0.009572290138214,-11.2042285979413,-38.9827528260541,-43.3423107853332,-18.46
Cell cycle and differentiation,Motility,Flagellum,flbE:A0A0H3C883,flbE,0.001936991059963,0.000841189587489,-11.2042285979413,-38.9827528260541,-43.3423107853332,-56.57
Cell cycle and differentiation,Motility,Flagellum,flgE:A0A0H3C878,flgE,0.01904792565278,0.005712185749337,-11.2042285979413,-38.9827528260541,-43.3423107853332,-70.01
Cell cycle and differentiation,Motility,Flagellum,flgL:A0A0H3C873,flgL,,,-11.2042285979413,-38.9827528260541,-43.3423107853332,#VALUE!
